,index,Text,Sentiment,Sentiment_score,Dominant_Topic,Topic_Keywords,Date
38,38,"This spot is great! Fair prices, considerable portions and the staff are constantly very nice.",Positive,0.645,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Mar
39,39,"I arrive at this outstanding restaurant once a month since I like the good air that is outline this place. The personel is highly helpful and qualified. The service is awfully rapid. Also, the food they cook is first-rate. I came many times and I was always pleased. The rate is fair. I recommend this place to all my friends.",Positive,0.2942857142857142,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Feb
40,40,I had the lamb burger served on a large kaiser roll with lettuce and sauteed onions. Cant get lamb very many places. It was very good. For $7 it was even better.,Positive,0.5685714285714285,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",20-Jan
41,41,"Really good burger, would definitely recommend.",Positive,0.35,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Jan
42,42,"Honestly, this place has a great burger and are fast. I call for a burger and sometimes it's ready within 10 minutes.",Positive,0.4499999999999999,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Jan
43,43,Very professional and clean. Loved the Mediterranean burger!,Positive,0.4572222222222222,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Jan
44,44,I had my daughterÂs first birthday here last year and he owner was more than accommodating. Great price and so many delicious options. He even let us decorate and play our own music.,Positive,0.5214285714285715,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",20-Jan
45,45,"First time visiting Burger Co. long wait for the burgers, but as they say good food takes time, eh. Ordered off the daily special board. Got the Bacon Co special with American cheese, and bacon cheese fries and a soda (actually got an ice tea)b Asked for rare got medium, and a little dry.and cheese fries were a little too salt and ( and although this may be a petty item) while there was plenty of bacon, the bits were too large should have been broken up a little more. Girlfriend got the Philly cheese steak. (No mushrooms thank you) and sweet potato fries(+$1.) and a Stewart's Root Beer. She loved the cheesesteak ( she wished there was more juice) as for my Opinion with my bacon burger not so thrilled. But I will probably give it another try, cause I'm interested in the lamb burger, and if I get another burger I will stress rare like blood, rare just knock the horns off grind it up, and give it a passing Acquaintance with the grill, just enough to warm it up and throw it on a bun. Rare, not medium rare, definitely not medium. Rare. So anyway for a eleven dollar Hamburger I found it lacking that certain something that Je ne sais quoi. Like an epic burger. It missed the mark. Close but that only counts with claymores.",Positive,0.2090437788018432,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Jan
46,46,"Delicious! A great selection of burgers and sides, as well as a build your own. It is a BYO place if you want a Âcold oneÂ to go with your burger. We enjoyed playing the games while waiting for our food (which wasnÂt a long time).",Positive,0.5700000000000001,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Jan
47,47,"Philly Cheese burgers and wings were great! Food was hot, fresh and flavorful. Onion rings had too much batter but the rest of the food was great. We will definitely eat here again if we are in the area again.",Positive,0.425,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Jan
48,48,Sooo many choices of burgers! I had the lamb burger with feta which I've never had before. It was cooked to order and delicious. Service is very friendly.,Positive,0.7041666666666666,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",19-Dec
49,49,"Honestly, I didn't have high hopes. I stumbled across the place and I went in at an off time, and there was only 1 person in the place. There is no table service -- you order at a kiosk at the window (it was not working so someone took my order). Ordered a regular cheeseburger. Oh. My. Goodness. One of the best burgers I've had in years. For those familiar with Krug's Tavern, these are just as good but less greasy. Fresh beef, nice soft bun, and it was incredible. There are lots of roll/bread options from which to choose, as well as various protein options if you want something other than beef. This is definitely going to become a regular for me!",Positive,0.2777083333333333,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",19-Dec
50,50,Hands down the best burger in the area. Had an awesome time enjoying at this cute vibe place. Will definitely recommend trying their burger combo.,Positive,0.4740740740740741,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",19-Dec
51,51,"Eggplant parm, fires, onion rings, all burgers cooked to order at very fair prices",Positive,0.91,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",19-Dec
52,52,"We stopped after a stroll through the town. Service was good and they have Lamb burgers, which I chose with Saracha sauce. They also have Salmon burgers and more.",Positive,0.6,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",19-Dec
53,53,"Amazing burgers! The meat tastes fresh, the bun bread is soft and flavor. If you're looking for a classic American burger of top quality this is the place to go. I had the texan burger and was well balanced in flavor. Definitely one of the best burgers I've had in a long time. The fries were also very good. Crispy and not overly seasoned. It's a bigger burger than the average size so to curb your burger craving head here!",Positive,0.2876282051282051,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",19-Nov
54,54,"Okay, so we were in the attractive town of Clinton and hungry... Aimed at Cracker Barrel we decided to take a look around. Upon seeing the exterior of this particular burger joint, we decided it might be the place to go. From there it was southbound. Service: oh you mean the dude glued to his cell phone. Meh... robot at best. Appearance: I can see some effort. There were a few items on the shelves that were interesting and even some even for customer's entertainment. Food: (by the way we got burgers at the place whose name boasted the product.) The burgers were not terrible, and there are good add-ons, but certainly nothing to recommend highly. Shake was not good. Price: way too expensive for the value. You are not 5 guys at all. Final: Might've been the right place... But it must've been the wrong time... try for yourself.",Positive,0.1302450980392157,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",19-Nov
